track_id,track_name,track_artist,track_album_release_date,track_duration_ms,sound_danceability,sound_energy,sound_key,sound_loudness,sound_mode,sound_speechiness,sound_acousticness,sound_instrumentalness,sound_liveness,sound_valence,sound_tempo,genre_edm,genre_latin,genre_pop,genre_rnb,genre_rap,genre_rock,has_listenership
4BsX3Li27mT1QBN0eTRKEK,More Than A Woman,Aaliyah,2007-01-01,229040,0.628,0.62,11,-7.706,1,0.0756,0.0739,0.000315,0.105,0.715,86.981,0,0,0,1,0,0,0
5F8WPtrurLmNE3tv6Sm14m,I Wanna Be Somebody,W.A.S.P.,1984,223533,0.296,0.83,1,-7.051,0,0.0505,0.00081,0.0,0.263,0.478,164.124,0,0,0,0,0,1,0
43iSGniJjPMHkICSnkJJyk,Te Dijeron,Plan B,2012-08-20,183853,0.785,0.86,4,-5.309,0,0.0512,0.127,0.0,0.408,0.547,89.978,0,1,0,0,0,0,0
16r6flH0Ib6cL8liYLsx8W,Dembow,Wisin & Yandel,2013-08-06,178040,0.723,0.807,7,-4.23,0,0.123,0.259,0.0,0.127,0.851,93.027,0,1,0,0,0,0,0
3HPLc89ZI535u9AfHjWk0F,Ojitos Cafe,18 Kilates,2010-12-01,225048,0.848,0.874,2,-7.179,1,0.0902,0.228,0.0,0.089,0.961,102.001,0,1,0,0,0,0,0
2nkdmdmpSreBz0ugsCnUix,High And Dry,Radiohead,2014-01-08,257480,0.418,0.383,4,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773,0,0,1,0,0,0,0
6EWIZKl3rQUSnvT7EI3uta,Who Do You Love,George Thorogood & The Destroyers,2009-01-01,259147,0.584,0.888,4,-8.09,1,0.0609,0.0752,0.056,0.128,0.628,106.706,0,0,0,0,0,1,0
424ga21oScJ3e1YvT9JxlT,Boogie in Zero Gravity - Extended Version,Black Strobe,2012-07-16,406575,0.777,0.703,11,-6.92,0,0.0569,0.0112,0.743,0.0765,0.975,123.006,0,0,1,0,0,0,0
0aEb1gDzaQMb53iXXoM7Lj,The Kids Are Alright - Mono/Stereo Version,The Who,2009-12-21,187053,0.301,0.593,2,-9.534,1,0.0343,0.00359,0.0,0.131,0.754,134.314,0,0,0,0,0,1,0
0ziRV8KI48IxSP0E5P9Dh5,Smile - The Magician Remix,Gorgon City,2016-11-08,274793,0.743,0.8,9,-6.037,0,0.0559,0.0296,0.113,0.0715,0.345,117.023,0,1,0,0,0,0,0
5Kd5uREX2CcXvFigm5oMdU,All Of The People,Panama Wedding,2014-01-01,215613,0.685,0.696,5,-5.697,0,0.0533,0.0299,0.00144,0.0662,0.95,89.976,0,0,1,0,0,0,0
10IBstzGdLMMwtxTiefXtm,Can't Knock The Hustle,JAY-Z,1996-06-25,317133,0.834,0.354,7,-12.42,1,0.461,0.203,0.0,0.0737,0.587,94.894,0,0,0,0,1,0,0
45kgqsq1g9liM5tvdKNhLa,F*ckwithmeyouknowigotit,JAY-Z,2013-07-10,243413,0.783,0.464,10,-8.122,0,0.293,0.0187,0.21,0.0699,0.261,128.138,0,0,0,0,1,0,0
2Ir4AHOrnDsqg0gYnYS2FK,Te Amare,Yandel,2018-10-12,241813,0.765,0.613,9,-5.58,0,0.0361,0.0597,0.000458,0.129,0.284,97.04,0,1,0,0,0,0,0
4gObdragjvGLJgIaWE3SuG,"Sincronía, Pegaso",Javiera Mena,2014-10-28,285512,0.566,0.891,1,-5.877,0,0.033,0.00329,0.0102,0.0926,0.367,109.017,0,0,1,0,0,0,0
3S7hCLF0tbxelnFZMdkn32,Motor City Madhouse - Edit,Ted Nugent,2005,271133,0.454,0.93,7,-5.55,1,0.0803,0.0943,0.285,0.13,0.469,119.373,0,0,0,0,0,1,0
2dMVmaxCaKCJz0jkSL8nj2,Crimes Of love,N.V.,1994,323227,0.813,0.55,9,-12.769,0,0.0498,0.00327,0.000182,0.0688,0.398,125.844,0,1,0,0,0,0,0
7tfdE7sUbVkPhfAK3rwyc2,Glue,Fickle Friends,2017-06-15,187857,0.678,0.807,6,-4.063,1,0.0698,0.243,0.0,0.15,0.632,115.993,0,0,1,0,0,0,0
34OiAOGvUPoTRqU9aTC2UY,F.U.T.W.,JAY-Z,2013-07-10,242760,0.544,0.646,1,-8.031,0,0.256,0.0311,0.0,0.217,0.35,88.021,0,0,0,0,1,0,0
3qIFYKztoCRa8I4a5J3BLF,Muskrat Love,Captain & Tennille,1976-01-01,228160,0.394,0.256,9,-16.528,1,0.056,0.885,0.000133,0.249,0.22,204.527,0,0,0,1,0,0,0
7JGqyqdzijtJeqVRhADFZd,Bring Back the Summer (feat. OLY),Rain Man,2016-03-04,200204,0.654,0.752,11,-3.676,0,0.0316,0.0691,1.79e-06,0.077,0.453,97.998,1,0,0,0,0,0,0
31LIXek4OCRgKJn4RWg5Yb,Used To,Drake,2015-02-12,268480,0.926,0.427,10,-7.584,0,0.107,0.0703,0.00033,0.0818,0.305,96.023,0,0,0,1,0,0,0
7HRKgCruDphRaLW4wmx8xM,Can't You Hear Me Knocking - Remastered,The Rolling Stones,1971-04-23,436000,0.545,0.757,0,-5.228,1,0.0396,0.408,0.045,0.16,0.714,152.217,0,0,0,0,0,1,0
2Dl4lx3LicqztcmGo6A5l5,I Love Your Smile,Shanice,1999-03-14,259760,0.72,0.804,0,-10.211,0,0.119,0.012,4.63e-06,0.143,0.757,93.92,0,0,0,1,0,0,0
4utnAvgRcZLBaC2jXklt17,Cumbia,GAWVI,2017-03-31,200733,0.821,0.703,0,-7.094,1,0.0613,0.0163,2.97e-05,0.226,0.561,96.963,0,1,0,0,0,0,0
5c3664v0qorEpBy1nXqtfL,Good Life,Kanye West,2007-01-01,209769,0.456,0.792,1,-6.889,1,0.323,0.00369,0.0,0.0648,0.485,82.999,0,0,0,0,1,0,0
5xGxl3Iux0worDz9tLbaDn,#1 Stunna,Big Tymers,2000-01-01,281960,0.552,0.839,2,-4.984,1,0.284,0.015,0.00404,0.258,0.569,89.07,0,0,0,0,1,0,0
0LlegggXrmrZ0zOtJvdb5Q,I Won´t Hold You Back - Big Room Edit,Stereoboys,2008-07-08,192956,0.72,0.754,3,-7.229,1,0.0527,0.017,0.118,0.0597,0.833,129.988,1,0,0,0,0,0,0
54mCRV3SMDTLlXqeDp0nmv,Lo Que No Sabes Tú,Chino & Nacho,2009-01-01,231967,0.704,0.903,9,-5.329,0,0.0758,0.197,0.0,0.142,0.879,160.027,0,1,0,0,0,0,0
6gjOXtpuILSt4KB5vptcVY,In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,2006-05-16,173440,0.472,0.497,2,-10.438,0,0.0309,0.00298,0.000287,0.195,0.794,119.503,0,0,0,0,0,1,0
4DNzemGNnckcJSr8DVk8Uj,No Me Llores,Duki,2018-08-10,191846,0.538,0.676,11,-8.846,0,0.038,0.665,7.98e-06,0.135,0.158,82.522,0,0,0,0,1,0,0
2ex8jWyy3ewSdlytVPdjhk,HIT THE LOTTO,GAWVI,2017-12-15,229606,0.704,0.581,5,-7.048,0,0.0903,0.273,7.03e-06,0.234,0.421,124.875,1,0,0,0,0,0,0
1vtQLXxSIr0A4Pfs9VGqxk,Volverte A Ver - MTV Unplugged,Juanes,2012-01-01,269360,0.393,0.311,5,-10.275,1,0.0344,0.922,0.0,0.855,0.384,132.38,0,1,0,0,0,0,0
7kQQwRj3bzpibsKqyxCnLA,I Know You Got Soul,Eric B. & Rakim,2004-01-01,280760,0.849,0.678,9,-7.498,1,0.184,0.0935,0.000382,0.0693,0.81,112.786,0,0,0,0,1,0,0
1rd6GujNvOYQaXnaLrmEXH,Bizarre Love Triangle,New Order,2016-11-04,263213,0.613,0.885,10,-7.463,1,0.052,0.0804,0.746,0.0997,0.919,118.506,0,0,1,0,0,0,0
3bZCS8ThTAxMJZavYWOY1z,True Life - Vnv Nation Remix,Lights Of Euphoria,2003-04-04,416893,0.708,0.898,9,-4.97,1,0.0486,0.0018,0.772,0.0585,0.166,133.964,0,0,1,0,0,0,0
4GNCf7mGb5NmZPx4NbHO9h,Come On To Me (feat. Sean Paul),Major Lazer,2013-03-15,213818,0.666,0.914,2,-4.397,1,0.0477,0.0105,1.83e-05,0.0914,0.365,110.003,1,0,0,0,0,0,0
0TFhmDGyFZ0M1A0jYnDAB8,Tearshed '93,Denine,2008-09-17,266867,0.675,0.915,0,-10.631,1,0.04,0.06,0.0946,0.0529,0.861,124.201,0,1,0,0,0,0,0
0sNu1RdkrTUg7qmyOZYLgw,Don't Let Me Down - W&W Remix,The Chainsmokers,2016-04-15,195453,0.435,0.903,8,-4.638,0,0.14,0.0364,0.00241,0.115,0.446,159.984,1,0,0,0,0,0,0
1YIqazOPARc41ThBqS7a8F,Ferrari,Duki,2018-06-15,181322,0.707,0.756,8,-5.696,1,0.0415,0.5,3.78e-06,0.108,0.543,153.499,0,0,0,0,1,0,0
4l59QWcA9F9qqvNc5pwDtL,Ali Bomaye,The Game,2012-01-01,372707,0.383,0.69,10,-5.299,0,0.452,0.0259,0.0,0.422,0.242,70.929,0,0,0,0,1,0,0
5KPMBOvLbP4eMRPHKv3pP0,Krack! - Original Mix,MOTi,2013-03-08,297187,0.755,0.9,11,-4.573,1,0.168,0.0141,0.153,0.0905,0.164,128.028,1,0,0,0,0,0,0
5gb2MjSKpS3FOf5i3XDtCw,We Come from the Valley,Fiesty 2 Gunns,2009-05-05,251067,0.695,0.659,7,-6.331,1,0.206,0.0453,0.0,0.0729,0.336,89.993,0,1,0,0,0,0,0
6W8TXRdNeC8QkiOrR3oW4J,Guardian Angel,Joe Ghost,2017-02-10,189000,0.53,0.661,9,-7.402,1,0.046,0.0333,0.000286,0.0732,0.192,159.977,1,0,0,0,0,0,0
0z09OVa4ZNJ4oQydl9XolX,Adrenalize,In This Moment,2012-08-13,255773,0.465,0.96,6,-3.888,1,0.0792,0.00023,0.0,0.129,0.43,132.014,0,0,0,0,0,1,0
5bLrBRYR92X7CddgbVhUqc,Vamos a la Playa,Righeira,2007-05-30,218651,0.846,0.853,8,-6.44,1,0.0379,0.0179,0.0486,0.0392,0.662,128.534,0,1,0,0,0,0,0
14w4u5B03GZxJGwNWgnFRp,Climbing Walls,Strange Talk,2014-04-29,224347,0.59,0.942,7,-3.595,1,0.0539,0.00227,0.215,0.279,0.834,139.991,0,0,1,0,0,0,0
1WcQA7YWCWb2uSlFbNzBr3,A Lo Moderno,Yelsid,2008-03-15,237907,0.755,0.64,6,-7.788,0,0.189,0.235,0.0,0.0627,0.762,171.968,0,1,0,0,0,0,0
6KDHudERIEJMFAR76XJrZ1,All I Need,Method Man,1994-11-15,196000,0.731,0.488,4,-11.133,0,0.265,0.0885,3.66e-05,0.112,0.167,91.914,0,0,0,0,1,0,0
1O64lNU0k9bGiWJVGt8et8,Rush Over,Marcus Miller,1997-03-11,319400,0.711,0.531,4,-12.264,0,0.036,0.373,0.0229,0.124,0.514,87.619,0,0,0,1,0,0,0
7laxpWXzfcZV54p1bNRYek,Children's Story,Slick Rick,2004-01-01,238320,0.913,0.546,1,-7.525,1,0.128,0.107,0.0,0.321,0.741,102.652,0,0,0,0,1,0,0
7Ktv8bQUjZt0rr16qgB4h2,Spaceships,AREA21,2016-04-08,169608,0.441,0.766,6,-5.921,0,0.0533,0.0181,1.6e-06,0.509,0.52,150.054,1,0,0,0,0,0,0
21AdWM5ynn4KbyqJwglPTa,Lion (In My Head) - Original mix,MOTi,2014-12-01,296250,0.641,0.828,5,-3.519,0,0.0431,0.00094,0.0339,0.0612,0.249,127.988,1,0,0,0,0,0,0
62raUKrBFGTw6OcrdI3c1T,Mo'Murda,Bone Thugs-N-Harmony,1995,344933,0.746,0.727,11,-8.787,1,0.147,0.0775,0.0,0.585,0.517,152.084,0,0,0,0,1,0,0
55DWZ04d9zY2N7Nr9xyzt0,Light Me Up,Matisse & Sadko,2018-08-03,208333,0.441,0.738,7,-5.128,1,0.0432,0.0386,0.0,0.112,0.299,126.107,1,0,0,0,0,0,0
01EIjqyCHyJkiyU22Zfdfd,Suicide Betsy,Rear Naked Choke,2017-09-29,195885,0.622,0.974,7,-4.867,0,0.0984,0.00447,0.000104,0.213,0.25,127.004,0,0,0,0,0,1,0
1kN9NWN4usLoogG70iJQuN,You’ve Made Your Bed (So Sleep In It),You Me At Six,2008,259813,0.466,0.895,9,-3.396,1,0.0507,0.0251,0.00212,0.127,0.545,175.924,0,0,1,0,0,0,0
4UO8h4KK8vBp57QYyzMLsa,Rise up - Club mix,Yves Larock,2007,372253,0.719,0.785,4,-5.527,0,0.0476,0.00313,0.225,0.0163,0.479,128.022,1,0,0,0,0,0,0
1JYKbarxvGPD5ml1P2O9H7,Pobre Diabla,Don Omar,2004,252480,0.741,0.748,9,-7.006,0,0.0568,0.423,0.0109,0.0849,0.85,92.052,0,1,0,0,0,0,0
3QZgmLxDNni6OK6585IH6S,Do It Like Me,Young Buck,2004-01-01,231520,0.773,0.777,6,-3.666,0,0.373,0.151,0.0,0.0816,0.594,92.735,0,0,0,0,1,0,0
3J5SeyQv9mh2eEMxAJ4iNg,Hail Mary,2Pac,1998-11-24,312373,0.789,0.634,10,-6.493,0,0.238,0.194,7.27e-06,0.37,0.377,82.089,0,0,0,0,1,0,0
4hszow3YBRAbGGA0WbbR6r,"Gonna Fly Now (Theme From ""Rocky"") - 2006 - Remaster",Bill Conti,2006-12-12,168360,0.435,0.812,0,-3.711,1,0.0381,0.541,0.719,0.0455,0.508,95.546,1,0,0,0,0,0,0
2KKtVbiUduFBMSRDjijMWz,This Is Forever (feat. Danyka Nadeau),Hellberg,2014-06-11,372367,0.63,0.773,6,-5.008,1,0.0303,0.00106,0.208,0.074,0.34,127.979,1,0,0,0,0,0,0
3Ye7HMeHdQqpyCkhkGckYu,Kiss You Back - Single Version,Digital Underground,2003-06-10,221467,0.845,0.648,9,-10.685,0,0.113,0.0386,0.0,0.223,0.794,113.086,0,0,0,1,0,0,0
0BfQLCJzAXxvKsMDcinyDv,Stay,The Black Madonna,2014,504300,0.703,0.744,1,-7.627,1,0.0305,0.0805,0.00121,0.107,0.0946,114.997,1,0,0,0,0,0,0
0GSguwVydcDTrHPoQsS8FU,Rats,Ghost,2018-04-13,261573,0.522,0.944,2,-5.731,0,0.0936,6.11e-06,0.482,0.135,0.236,124.029,0,0,0,0,0,1,0
6ii7kTrjostB8G21X9S6P0,Spectrum,Zedd,2012-01-01,243413,0.611,0.785,0,-4.432,0,0.0346,0.0127,0.00325,0.125,0.414,129.972,1,0,0,0,0,0,0
0z96N6kyEynNvQa5DjKs0y,Когда мы вошли,Blvckross,2017-04-11,232229,0.634,0.726,6,-5.58,0,0.378,0.0274,1.3e-05,0.365,0.527,139.845,0,0,0,0,1,0,0
3i2YzgregUTKDAPVHz6rBM,Big Bang (2015 Life In Color Anthem) - Radio Edit,Borgeous,2015-04-27,190430,0.637,0.906,5,-5.379,0,0.0426,0.000404,0.766,0.135,0.351,128.002,1,0,0,0,0,0,0
6zuJ3bs99RchNQ7JUOSY1k,Money Note,Camille,2008-04-04,382386,0.846,0.797,9,-9.519,1,0.082,0.367,0.000191,0.226,0.877,121.989,0,0,0,0,0,1,0
2o2of897dC5i2mVKl69UNZ,"Shit, Damn, Motherfucker",D'Angelo,1995-07-03,314200,0.803,0.236,7,-12.599,1,0.0994,0.343,0.598,0.0682,0.567,80.974,0,0,0,1,0,0,0
2NTzIibZNMSJcVFt9gIpVs,Paiso,Hans Grants,2014-12-12,216832,0.595,0.551,10,-11.522,0,0.509,0.452,1.13e-05,0.0883,0.597,170.111,0,1,0,0,0,0,0
1foA2rJVr7vaBfFIDVeexw,Cake,Lloyd Banks,2006-01-01,166253,0.553,0.862,9,-5.521,0,0.506,0.158,0.0,0.109,0.716,123.743,0,0,0,0,1,0,0
1f1QPwS422JMbg2aRW66bw,Beautiful Boy (Darling Boy),John Lennon,1980-11-17,245693,0.574,0.469,2,-11.53,1,0.0403,0.733,1.96e-06,0.856,0.435,111.378,0,0,0,0,0,1,0
1yl4Lly0mQBJwDeocjsbxc,Stranglehold,Ted Nugent,1975,503067,0.484,0.711,2,-7.784,1,0.0331,0.0183,0.173,0.0941,0.49,148.189,0,0,0,0,0,1,0
